2022-10-04 00:42:50.7|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:44:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:44:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Morbius (2022) 720p h264 Ac3 5.1 Ita Eng Sub Ita Eng-MIRCrew.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:44:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun (1986) 1080p H265 ita eng AC3 5.1 sub ita eng Licdom.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:44:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun Maverick (2022) [IMAX] [REPACK] [1080p] [WEBRip] [5.1] [YTS.MX]. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:44:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:45:50.7|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:45:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Morbius (2022) 720p h264 Ac3 5.1 Ita Eng Sub Ita Eng-MIRCrew.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:45:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun (1986) 1080p H265 ita eng AC3 5.1 sub ita eng Licdom.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:45:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun Maverick (2022) [IMAX] [REPACK] [1080p] [WEBRip] [5.1] [YTS.MX]. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:45:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:47:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:47:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Morbius (2022) 720p h264 Ac3 5.1 Ita Eng Sub Ita Eng-MIRCrew.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:47:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun (1986) 1080p H265 ita eng AC3 5.1 sub ita eng Licdom.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:47:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun Maverick (2022) [IMAX] [REPACK] [1080p] [WEBRip] [5.1] [YTS.MX]. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:47:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:48:50.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:48:50.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Morbius (2022) 720p h264 Ac3 5.1 Ita Eng Sub Ita Eng-MIRCrew.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:48:50.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun (1986) 1080p H265 ita eng AC3 5.1 sub ita eng Licdom.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:48:50.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun Maverick (2022) [IMAX] [REPACK] [1080p] [WEBRip] [5.1] [YTS.MX]. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:48:50.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:50:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:50:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Morbius (2022) 720p h264 Ac3 5.1 Ita Eng Sub Ita Eng-MIRCrew.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:50:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun (1986) 1080p H265 ita eng AC3 5.1 sub ita eng Licdom.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:50:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun Maverick (2022) [IMAX] [REPACK] [1080p] [WEBRip] [5.1] [YTS.MX]. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:50:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:51:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:51:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Morbius (2022) 720p h264 Ac3 5.1 Ita Eng Sub Ita Eng-MIRCrew.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:51:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun (1986) 1080p H265 ita eng AC3 5.1 sub ita eng Licdom.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:51:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun Maverick (2022) [IMAX] [REPACK] [1080p] [WEBRip] [5.1] [YTS.MX]. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:51:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:53:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:53:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Morbius (2022) 720p h264 Ac3 5.1 Ita Eng Sub Ita Eng-MIRCrew.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:53:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun (1986) 1080p H265 ita eng AC3 5.1 sub ita eng Licdom.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:53:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun Maverick (2022) [IMAX] [REPACK] [1080p] [WEBRip] [5.1] [YTS.MX]. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:53:20.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:54:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:54:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Morbius (2022) 720p h264 Ac3 5.1 Ita Eng Sub Ita Eng-MIRCrew.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:54:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun (1986) 1080p H265 ita eng AC3 5.1 sub ita eng Licdom.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:54:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Top Gun Maverick (2022) [IMAX] [REPACK] [1080p] [WEBRip] [5.1] [YTS.MX]. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:54:50.8|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Minions 2 - Come Gru diventa cattivissimo 2022 1080p H265 iTA EnG AC3 Sub iTA EnG AsPiDe.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
2022-10-04 00:56:20.9|Error|DownloadedMovieImportService|Import failed, path does not exist or is not accessible by Radarr: /downloads/Thor Love and Thunder 2022 1080p WEBRip x264 AAC - ShortRips.mkv. Ensure the path exists and the user running Radarr has the correct permissions to access this file/folder
